name,games,win_percent,score_avg,goal_avg,assist_avg,save_avg,shot_avg,shot_percent,goal_participation_percent,overall_rating_avg
Benniiz,52,34.62%,386.56,0.65,0.46,1.83,2.52,25.95%,66.67%,0.973

Mao,59,49.15%,342.27,0.80,0.41,1.32,2.24,35.61%,60.68%,0.972

Nielskoek,119,37.82%,266.47,0.74,0.54,1.60,2.84,26.04%,66.38%,0.972

tallie,106,41.51%,378.71,0.70,0.46,1.65,2.85,24.50%,60.29%,0.972

Catalysm,294,50.34%,388.69,0.66,0.44,1.70,3.05,21.49%,61.49%,0.971

Crazy,64,40.63%,370.17,0.72,0.47,1.61,2.61,27.54%,65.52%,0.971

Skillz.,156,42.31%,364.80,0.69,0.52,1.54,2.86,24.22%,61.56%,0.970

Noiisey,156,44.87%,363.03,0.60,0.61,1.44,2.35,25.68%,64.29%,0.969

Rocky,89,46.07%,333.16,0.84,0.45,1.11,2.66,31.65%,56.10%,0.969

SSteve,236,47.88%,367.67,0.68,0.51,1.51,2.92,23.37%,60.78%,0.969

MaRc_By_8.,525,66.67%,353.22,0.68,0.60,1.34,2.94,22.96%,59.05%,0.969

Chris,53,45.28%,360.85,0.70,0.66,1.38,2.83,24.67%,59.50%,0.969

Toastie,300,51.00%,353.54,0.74,0.49,1.40,2.83,26.15%,59.71%,0.969

comm,338,48.52%,381.37,0.56,0.55,1.84,2.62,21.38%,62.54%,0.969

Bram.,97,43.30%,358.51,0.61,0.57,1.74,2.34,25.99%,58.46%,0.968

aguz,132,34.85%,345.40,0.70,0.53,1.29,2.71,25.70%,63.28%,0.967

masa,92,53.26%,328.10,0.68,0.60,1.22,2.08,32.98%,58.42%,0.966

klaus.,195,43.59%,353.05,0.72,0.48,1.44,2.64,27.38%,67.24%,0.965

Squishy,904,63.16%,344.08,0.63,0.59,1.48,2.67,23.59%,56.38%,0.964

EPICJonny,67,38.81%,274.21,0.67,0.51,1.82,2.46,27.27%,57.25%,0.964

Vogan,74,47.30%,231.89,0.72,0.53,1.46,2.61,27.46%,59.35%,0.963

Hughesy,69,36.23%,358.22,0.80,0.36,1.39,2.36,33.74%,62.99%,0.963

Fairy Peak!,885,58.19%,344.28,0.62,0.57,1.68,2.54,24.24%,58.53%,0.963

Shock,406,50.25%,378.73,0.65,0.45,1.74,2.78,23.27%,61.77%,0.962

Justuszzz,195,49.74%,381.55,0.47,0.63,1.93,2.67,17.69%,58.47%,0.962

Rqxsia,51,49.02%,334.88,0.65,0.57,1.37,2.10,30.84%,56.88%,0.962

Tjester,60,45.00%,342.37,0.82,0.40,1.37,2.83,28.82%,66.36%,0.961

Calix,187,48.13%,356.85,0.72,0.44,1.52,2.91,24.77%,59.94%,0.961

Lausiie,82,45.12%,369.59,0.73,0.37,1.52,2.66,27.52%,61.64%,0.960

SrNaniiTou,208,37.50%,364.58,0.63,0.49,1.73,2.42,25.84%,59.79%,0.960

rapid,427,51.05%,381.65,0.57,0.57,1.68,2.83,20.28%,60.12%,0.960

Toxiic,71,47.89%,367.39,0.70,0.46,1.65,2.63,26.74%,55.70%,0.960

saizen,217,48.85%,350.89,0.70,0.47,1.41,2.84,24.68%,65.37%,0.960

hockser,386,45.60%,392.95,0.52,0.57,1.97,2.63,19.61%,61.74%,0.959

kixou,64,39.06%,365.11,0.58,0.39,2.19,2.08,27.82%,57.94%,0.959

matix,384,58.33%,352.34,0.72,0.52,1.36,2.82,25.55%,57.49%,0.959

Thundah,57,36.84%,352.53,0.75,0.44,1.37,2.51,30.07%,54.40%,0.959

Kronovi,657,52.82%,306.14,0.71,0.53,1.42,2.82,25.28%,58.29%,0.959

torment,754,54.51%,342.77,0.63,0.54,1.77,2.50,25.29%,56.99%,0.959

Grumpz,61,34.43%,351.80,0.72,0.33,1.59,2.89,25.00%,66.67%,0.959

alraz,239,41.84%,375.74,0.60,0.48,1.65,2.95,20.43%,62.71%,0.958

K.z,52,50.00%,333.21,0.79,0.46,1.13,2.63,29.93%,55.56%,0.958

Ryzow,92,53.26%,344.79,0.63,0.62,1.39,1.92,32.77%,56.93%,0.958

Dorito,229,47.60%,384.52,0.59,0.47,1.81,2.71,21.90%,58.80%,0.957

bananahead,176,52.27%,381.90,0.65,0.51,1.76,2.57,25.44%,60.71%,0.957

WondaMike,179,47.49%,381.64,0.73,0.47,1.45,3.08,23.55%,64.46%,0.957

Lerky,233,48.93%,351.07,0.66,0.58,1.33,2.91,22.53%,61.41%,0.956

Moss,189,39.15%,355.52,0.60,0.54,1.64,2.43,24.62%,61.08%,0.956

leodkn,601,51.75%,364.38,0.59,0.60,1.67,2.25,26.20%,57.28%,0.955

DmentZa,453,52.98%,371.31,0.55,0.59,1.85,2.52,21.78%,56.50%,0.955

Yukiss,213,48.36%,362.21,0.64,0.49,1.54,2.64,24.38%,59.46%,0.954

Mittaen,322,53.73%,385.64,0.57,0.50,1.86,2.90,19.81%,57.26%,0.954

Tenhow,111,75.68%,348.77,0.74,0.58,1.27,2.69,27.42%,46.20%,0.954

LeV,72,45.83%,362.10,0.64,0.53,1.56,2.63,24.34%,61.31%,0.953

zenulous,543,54.88%,327.20,0.71,0.56,1.25,2.64,27.04%,58.93%,0.953

hibbs,306,48.04%,373.83,0.60,0.51,1.80,2.57,23.28%,60.04%,0.952

blaze.,65,44.62%,372.92,0.63,0.55,1.49,2.51,25.15%,58.78%,0.952

Ghost,184,48.37%,343.57,0.71,0.51,1.27,2.71,26.05%,61.54%,0.952

Taroco.,467,51.18%,360.31,0.67,0.47,1.58,2.91,23.16%,57.05%,0.952

snipjz,544,56.62%,357.81,0.68,0.54,1.48,2.65,25.56%,55.70%,0.952

matsgrey,150,46.67%,377.29,0.61,0.53,1.77,2.71,22.41%,59.38%,0.951

laucha,166,44.58%,361.68,0.61,0.50,1.75,2.50,24.58%,56.75%,0.951

Davitrox,415,44.58%,346.93,0.69,0.47,1.41,2.73,25.18%,61.62%,0.951

PeaKy,54,42.59%,356.02,0.59,0.54,1.78,2.09,28.32%,58.65%,0.950

Sythe,52,50.00%,382.46,0.52,0.56,2.21,2.10,24.77%,53.33%,0.949

Shadow,176,43.18%,381.68,0.61,0.49,1.77,2.58,23.79%,62.58%,0.949

Forky,69,47.83%,373.03,0.57,0.59,1.59,2.61,21.67%,60.61%,0.948

Doomsee,175,49.14%,284.70,0.74,0.51,1.33,2.63,28.04%,59.03%,0.948

h4mburger,59,40.68%,351.73,0.68,0.63,1.20,2.29,29.63%,60.63%,0.948

Kraziks,304,50.66%,354.95,0.61,0.55,1.55,2.75,22.10%,56.05%,0.947

Tobee,151,43.05%,363.66,0.58,0.58,1.46,2.61,22.34%,58.72%,0.947

Requiem,609,55.50%,330.12,0.68,0.59,1.24,2.47,27.38%,56.60%,0.947

Memory,559,48.84%,359.09,0.68,0.42,1.59,2.89,23.55%,60.41%,0.946

Matt,201,41.79%,245.32,0.79,0.47,1.43,2.63,29.92%,61.31%,0.946

Shmoopernator,250,44.80%,349.14,0.64,0.50,1.59,2.56,25.20%,60.90%,0.946

ejby,60,38.33%,391.00,0.63,0.45,1.83,2.50,25.33%,61.32%,0.946

Aeon,145,42.76%,352.06,0.66,0.43,1.48,2.72,24.05%,63.20%,0.946

LGGS,73,41.10%,355.84,0.63,0.51,1.67,2.55,24.73%,58.87%,0.945

Friizy,90,50.00%,314.47,0.73,0.60,1.02,2.42,30.28%,54.79%,0.945

Laxin,236,50.42%,380.44,0.59,0.53,1.72,2.35,25.05%,56.17%,0.945

ams,93,56.99%,355.71,0.67,0.60,1.29,3.19,20.88%,54.63%,0.945

Darou,67,44.78%,370.51,0.60,0.46,1.87,2.49,23.95%,60.68%,0.943

oath,137,43.80%,364.78,0.59,0.56,1.49,2.47,23.96%,66.39%,0.942

repi,625,52.80%,361.35,0.64,0.52,1.62,2.57,24.74%,56.10%,0.942

