name,region,Players,stats
Disconnected Esports,ASIA,"['Player: ""name"": ""Kaizen"", ""games"": 54, ""win %"": 48.15%, ""score avg"": 324.17, ""goal avg"": 0.46, ""assist avg"": 0.44, ""save avg"": 1.59, ""shot avg"": 2.31, ""shot %"": 20.00%, ""goal participation %"": 47.12%, ""rating"": 0.809', 'Player: ""name"": ""Tank"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Dream Conspiracy,SAM,"['Player: ""name"": ""Royales"", ""games"": 459, ""win %"": 42.70%, ""score avg"": 349.52, ""goal avg"": 0.69, ""assist avg"": 0.44, ""save avg"": 1.41, ""shot avg"": 2.54, ""shot %"": 27.41%, ""goal participation %"": 60.12%, ""rating"": 0.937', 'Player: ""name"": ""repi"", ""games"": 625, ""win %"": 52.80%, ""score avg"": 361.35, ""goal avg"": 0.64, ""assist avg"": 0.52, ""save avg"": 1.62, ""shot avg"": 2.57, ""shot %"": 24.74%, ""goal participation %"": 56.10%, ""rating"": 0.942', 'Player: ""name"": ""yanD"", ""games"": 462, ""win %"": 42.42%, ""score avg"": 367.13, ""goal avg"": 0.64, ""assist avg"": 0.47, ""save avg"": 1.66, ""shot avg"": 2.57, ""shot %"": 25.00%, ""goal participation %"": 59.08%, ""rating"": 0.934', 'Player: ""name"": ""speedhack"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[515.3333333333334, 0.4597333333333334, 359.3333333333333, 0.6566666666666667, 0.4766666666666666, 1.5633333333333335, 2.56, 0.2571666666666667, 0.9376666666666668]"
ENTERPRISE esports,EU,"['Player: ""name"": ""Dave"", ""games"": 63, ""win %"": 33.33%, ""score avg"": 326.92, ""goal avg"": 0.59, ""assist avg"": 0.48, ""save avg"": 1.32, ""shot avg"": 2.16, ""shot %"": 27.21%, ""goal participation %"": 65.05%, ""rating"": 0.873', 'Player: ""name"": ""Lauty"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Nalmon"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Peroxidd"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[21.0, 0.11109999999999999, 108.97333333333334, 0.19666666666666666, 0.16, 0.44, 0.7200000000000001, 0.0907, 0.291]"
ERN ROAR,EU,"['Player: ""name"": ""Ne0n"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Zeddo"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""stealth."", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Edelweiss Esports,EU,"['Player: ""name"": ""Mirror."", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""BatOu"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Elevate,SAM,"['Player: ""name"": ""Bemmz"", ""games"": 61, ""win %"": 54.10%, ""score avg"": 378.92, ""goal avg"": 0.70, ""assist avg"": 0.46, ""save avg"": 1.79, ""shot avg"": 2.56, ""shot %"": 27.56%, ""goal participation %"": 53.38%, ""rating"": 0.991', 'Player: ""name"": ""LeoDkn"", ""games"": 601, ""win %"": 51.75%, ""score avg"": 364.38, ""goal avg"": 0.59, ""assist avg"": 0.60, ""save avg"": 1.67, ""shot avg"": 2.25, ""shot %"": 26.20%, ""goal participation %"": 57.28%, ""rating"": 0.955', 'Player: ""name"": ""Losttssj"", ""games"": 380, ""win %"": 45.00%, ""score avg"": 394.43, ""goal avg"": 0.82, ""assist avg"": 0.48, ""save avg"": 1.75, ""shot avg"": 2.99, ""shot %"": 27.44%, ""goal participation %"": 68.61%, ""rating"": 1.063']","[347.3333333333333, 0.5028333333333334, 379.24333333333334, 0.7033333333333333, 0.5133333333333333, 1.7366666666666666, 2.6, 0.27066666666666667, 1.003]"
Empyre Esports,NA,"['Player: ""name"": ""Crave"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Mazo"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Mizu"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Beans"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
EndGame,SAM,"['Player: ""name"": ""Wells"", ""games"": 425, ""win %"": 49.18%, ""score avg"": 370.34, ""goal avg"": 0.86, ""assist avg"": 0.47, ""save avg"": 1.31, ""shot avg"": 3.05, ""shot %"": 28.16%, ""goal participation %"": 65.43%, ""rating"": 1.028', 'Player: ""name"": ""bmendesantos"", ""games"": 241, ""win %"": 44.40%, ""score avg"": 364.83, ""goal avg"": 0.52, ""assist avg"": 0.51, ""save avg"": 1.71, ""shot avg"": 2.26, ""shot %"": 23.16%, ""goal participation %"": 53.88%, ""rating"": 0.885', 'Player: ""name"": ""ianpinheiro"", ""games"": 293, ""win %"": 48.81%, ""score avg"": 357.53, ""goal avg"": 0.61, ""assist avg"": 0.55, ""save avg"": 1.44, ""shot avg"": 2.69, ""shot %"": 22.69%, ""goal participation %"": 60.89%, ""rating"": 0.926']","[319.6666666666667, 0.4746333333333333, 364.2333333333333, 0.6633333333333332, 0.51, 1.4866666666666666, 2.6666666666666665, 0.24670000000000003, 0.9463333333333334]"
Endpoint,EU,"['Player: ""name"": ""Metsanauris"", ""games"": 776, ""win %"": 50.52%, ""score avg"": 317.69, ""goal avg"": 0.56, ""assist avg"": 0.52, ""save avg"": 1.44, ""shot avg"": 2.43, ""shot %"": 23.10%, ""goal participation %"": 57.25%, ""rating"": 0.888', 'Player: ""name"": ""RelatingWave"", ""games"": 473, ""win %"": 51.80%, ""score avg"": 394.95, ""goal avg"": 0.65, ""assist avg"": 0.60, ""save avg"": 1.78, ""shot avg"": 2.68, ""shot %"": 24.41%, ""goal participation %"": 62.51%, ""rating"": 1.015', 'Player: ""name"": ""seikoo"", ""games"": 135, ""win %"": 57.78%, ""score avg"": 439.76, ""goal avg"": 0.96, ""assist avg"": 0.53, ""save avg"": 1.84, ""shot avg"": 3.64, ""shot %"": 26.22%, ""goal participation %"": 72.99%, ""rating"": 1.186', 'Player: ""name"": ""Eclipse"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[461.3333333333333, 0.5336666666666666, 384.1333333333334, 0.7233333333333333, 0.55, 1.6866666666666665, 2.9166666666666665, 0.2457666666666667, 1.0296666666666667]"
Esport BERG,EU,"['Player: ""name"": ""LiFox"", ""games"": 77, ""win %"": 37.66%, ""score avg"": 389.25, ""goal avg"": 0.48, ""assist avg"": 0.40, ""save avg"": 2.06, ""shot avg"": 2.88, ""shot %"": 16.67%, ""goal participation %"": 50.37%, ""rating"": 0.883']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Esports eSports,EU,"['Player: ""name"": ""Finnerdt"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Lady Penelope"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Treefork"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Evil Geniuses,EU,"['Player: ""name"": ""Catalysm"", ""games"": 294, ""win %"": 50.34%, ""score avg"": 388.69, ""goal avg"": 0.66, ""assist avg"": 0.44, ""save avg"": 1.70, ""shot avg"": 3.05, ""shot %"": 21.49%, ""goal participation %"": 61.49%, ""rating"": 0.971', 'Player: ""name"": ""Rizex45"", ""games"": 276, ""win %"": 47.46%, ""score avg"": 367.51, ""goal avg"": 0.54, ""assist avg"": 0.48, ""save avg"": 1.76, ""shot avg"": 2.64, ""shot %"": 20.27%, ""goal participation %"": 55.67%, ""rating"": 0.909', 'Player: ""name"": ""ivn"", ""games"": 158, ""win %"": 51.27%, ""score avg"": 367.04, ""goal avg"": 0.56, ""assist avg"": 0.49, ""save avg"": 1.72, ""shot avg"": 2.88, ""shot %"": 19.56%, ""goal participation %"": 59.50%, ""rating"": 0.933', 'Player: ""name"": ""Mumen"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[242.66666666666666, 0.49690000000000006, 374.41333333333336, 0.5866666666666668, 0.47, 1.7266666666666666, 2.856666666666667, 0.20439999999999997, 0.9376666666666665]"
FC Barcelona,EU,"['Player: ""name"": ""Dorito"", ""games"": 229, ""win %"": 47.60%, ""score avg"": 384.52, ""goal avg"": 0.59, ""assist avg"": 0.47, ""save avg"": 1.81, ""shot avg"": 2.71, ""shot %"": 21.90%, ""goal participation %"": 58.80%, ""rating"": 0.957', 'Player: ""name"": ""Braan."", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
FTW Esports,SAM,"['Player: ""name"": ""Klaus"", ""games"": 195, ""win %"": 43.59%, ""score avg"": 353.05, ""goal avg"": 0.72, ""assist avg"": 0.48, ""save avg"": 1.44, ""shot avg"": 2.64, ""shot %"": 27.38%, ""goal participation %"": 67.24%, ""rating"": 0.965', 'Player: ""name"": ""Pedrinho"", ""games"": 277, ""win %"": 40.07%, ""score avg"": 317.34, ""goal avg"": 0.48, ""assist avg"": 0.41, ""save avg"": 1.45, ""shot avg"": 2.31, ""shot %"": 20.78%, ""goal participation %"": 55.63%, ""rating"": 0.805']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
FURIA Esports,SAM,"['Player: ""name"": ""CaioTG1"", ""games"": 891, ""win %"": 66.22%, ""score avg"": 408.73, ""goal avg"": 0.93, ""assist avg"": 0.68, ""save avg"": 1.44, ""shot avg"": 3.32, ""shot %"": 28.10%, ""goal participation %"": 64.27%, ""rating"": 1.144', 'Player: ""name"": ""caard"", ""games"": 876, ""win %"": 66.44%, ""score avg"": 429.33, ""goal avg"": 0.94, ""assist avg"": 0.63, ""save avg"": 1.63, ""shot avg"": 3.38, ""shot %"": 27.96%, ""goal participation %"": 63.16%, ""rating"": 1.170', 'Player: ""name"": ""yanxnz"", ""games"": 562, ""win %"": 58.54%, ""score avg"": 402.63, ""goal avg"": 0.78, ""assist avg"": 0.64, ""save avg"": 1.51, ""shot avg"": 3.13, ""shot %"": 24.76%, ""goal participation %"": 61.53%, ""rating"": 1.067', 'Player: ""name"": ""MateusSTL"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[776.3333333333334, 0.6373333333333333, 413.56333333333333, 0.8833333333333334, 0.65, 1.5266666666666666, 3.276666666666666, 0.26940000000000003, 1.127]"
FaZe Clan,NA,"['Player: ""name"": ""AYYJAYY"", ""games"": 632, ""win %"": 52.69%, ""score avg"": 387.04, ""goal avg"": 0.73, ""assist avg"": 0.47, ""save avg"": 1.76, ""shot avg"": 3.03, ""shot %"": 24.19%, ""goal participation %"": 64.30%, ""rating"": 1.016', 'Player: ""name"": ""Allushin"", ""games"": 675, ""win %"": 51.56%, ""score avg"": 326.25, ""goal avg"": 0.53, ""assist avg"": 0.49, ""save avg"": 1.51, ""shot avg"": 2.20, ""shot %"": 24.11%, ""goal participation %"": 53.84%, ""rating"": 0.849', 'Player: ""name"": ""Firstkiller"", ""games"": 547, ""win %"": 55.39%, ""score avg"": 460.23, ""goal avg"": 0.85, ""assist avg"": 0.58, ""save avg"": 2.02, ""shot avg"": 3.37, ""shot %"": 25.20%, ""goal participation %"": 68.81%, ""rating"": 1.171', 'Player: ""name"": ""AxB"", ""games"": 217, ""win %"": 51.15%, ""score avg"": 352.97, ""goal avg"": 0.61, ""assist avg"": 0.50, ""save avg"": 1.48, ""shot avg"": 2.50, ""shot %"": 24.35%, ""goal participation %"": 55.79%, ""rating"": 0.905', 'Player: ""name"": ""Moopy"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[618.0, 0.5321333333333333, 391.17333333333335, 0.7033333333333333, 0.5133333333333333, 1.7633333333333334, 2.866666666666667, 0.245, 1.012]"
Fact Revolution,EU,"['Player: ""name"": ""BanjoCarry"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Sacred"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Supr"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Falcons Esports,ME,"['Player: ""name"": ""Ali."", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Impressive"", ""games"": 57, ""win %"": 63.16%, ""score avg"": 365.58, ""goal avg"": 0.65, ""assist avg"": 0.56, ""save avg"": 1.74, ""shot avg"": 2.84, ""shot %"": 22.84%, ""goal participation %"": 48.94%, ""rating"": 0.979', 'Player: ""name"": ""Smw"", ""games"": 77, ""win %"": 64.94%, ""score avg"": 429.47, ""goal avg"": 0.96, ""assist avg"": 0.65, ""save avg"": 1.70, ""shot avg"": 3.52, ""shot %"": 27.31%, ""goal participation %"": 62.31%, ""rating"": 1.178', 'Player: ""name"": ""Twiz"", ""games"": 77, ""win %"": 64.94%, ""score avg"": 406.69, ""goal avg"": 0.97, ""assist avg"": 0.64, ""save avg"": 1.39, ""shot avg"": 3.10, ""shot %"": 31.38%, ""goal participation %"": 62.31%, ""rating"": 1.136']","[44.666666666666664, 0.42699999999999994, 265.01666666666665, 0.5366666666666666, 0.4033333333333333, 1.1466666666666667, 2.1199999999999997, 0.16716666666666666, 0.719]"
Fast And Furious,NA,"['Player: ""name"": ""Lunar"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Peep"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""cam."", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Ferg & Co,EU,"['Player: ""name"": ""FERGM"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Kiernan"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Tjester"", ""games"": 60, ""win %"": 45.00%, ""score avg"": 342.37, ""goal avg"": 0.82, ""assist avg"": 0.40, ""save avg"": 1.37, ""shot avg"": 2.83, ""shot %"": 28.82%, ""goal participation %"": 66.36%, ""rating"": 0.961', 'Player: ""name"": ""Smokez"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[20.0, 0.15, 114.12333333333333, 0.2733333333333333, 0.13333333333333333, 0.4566666666666667, 0.9433333333333334, 0.09606666666666668, 0.3203333333333333]"
Fire Breathing Rubber Duckies,OCE,"['Player: ""name"": ""Baked Potato"", ""games"": 266, ""win %"": 46.99%, ""score avg"": 359.77, ""goal avg"": 0.73, ""assist avg"": 0.45, ""save avg"": 1.49, ""shot avg"": 2.79, ""shot %"": 26.28%, ""goal participation %"": 63.05%, ""rating"": 0.977', 'Player: ""name"": ""Laxin"", ""games"": 236, ""win %"": 50.42%, ""score avg"": 380.44, ""goal avg"": 0.59, ""assist avg"": 0.53, ""save avg"": 1.72, ""shot avg"": 2.35, ""shot %"": 25.05%, ""goal participation %"": 56.17%, ""rating"": 0.945', 'Player: ""name"": ""Leviathan"", ""games"": 111, ""win %"": 47.75%, ""score avg"": 320.95, ""goal avg"": 0.53, ""assist avg"": 0.37, ""save avg"": 1.24, ""shot avg"": 2.43, ""shot %"": 21.85%, ""goal participation %"": 51.28%, ""rating"": 0.808']","[204.33333333333334, 0.4838666666666666, 353.72, 0.6166666666666666, 0.45, 1.4833333333333334, 2.5233333333333334, 0.24393333333333334, 0.91]"
Flashes of Brilliance,NA,"['Player: ""name"": ""Jacob"", ""games"": 514, ""win %"": 48.25%, ""score avg"": 279.65, ""goal avg"": 0.59, ""assist avg"": 0.60, ""save avg"": 1.41, ""shot avg"": 2.22, ""shot %"": 26.64%, ""goal participation %"": 59.67%, ""rating"": 0.907', 'Player: ""name"": ""Spyder"", ""games"": 172, ""win %"": 41.28%, ""score avg"": 357.93, ""goal avg"": 0.69, ""assist avg"": 0.40, ""save avg"": 1.50, ""shot avg"": 2.98, ""shot %"": 23.20%, ""goal participation %"": 61.24%, ""rating"": 0.931']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
G2 Esports,NA,"['Player: ""name"": ""Chicago"", ""games"": 688, ""win %"": 59.01%, ""score avg"": 389.01, ""goal avg"": 0.85, ""assist avg"": 0.59, ""save avg"": 1.39, ""shot avg"": 3.50, ""shot %"": 24.35%, ""goal participation %"": 67.46%, ""rating"": 1.088', 'Player: ""name"": ""JKnaps"", ""games"": 804, ""win %"": 59.33%, ""score avg"": 379.84, ""goal avg"": 0.82, ""assist avg"": 0.66, ""save avg"": 1.45, ""shot avg"": 3.46, ""shot %"": 23.65%, ""goal participation %"": 68.00%, ""rating"": 1.097', 'Player: ""name"": ""dreaz"", ""games"": 247, ""win %"": 61.94%, ""score avg"": 354.10, ""goal avg"": 0.55, ""assist avg"": 0.60, ""save avg"": 1.52, ""shot avg"": 2.70, ""shot %"": 20.36%, ""goal participation %"": 54.20%, ""rating"": 0.934', 'Player: ""name"": ""Jahzo"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Satthew"", ""games"": 200, ""win %"": 45.00%, ""score avg"": 301.56, ""goal avg"": 0.53, ""assist avg"": 0.49, ""save avg"": 1.19, ""shot avg"": 2.29, ""shot %"": 22.98%, ""goal participation %"": 57.18%, ""rating"": 0.825']","[579.6666666666666, 0.6009333333333333, 374.3166666666666, 0.7399999999999999, 0.6166666666666667, 1.4533333333333331, 3.22, 0.22786666666666666, 1.0396666666666667]"
Genesis,NA,"['Player: ""name"": ""0ver Zer0"", ""games"": 64, ""win %"": 53.13%, ""score avg"": 225.55, ""goal avg"": 0.59, ""assist avg"": 0.64, ""save avg"": 1.13, ""shot avg"": 2.66, ""shot %"": 22.35%, ""goal participation %"": 51.30%, ""rating"": 0.826', 'Player: ""name"": ""Wizz"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Gentlemen,NA,"['Player: ""name"": ""CHEESE"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""NoMansion"", ""games"": 58, ""win %"": 46.55%, ""score avg"": 344.41, ""goal avg"": 0.74, ""assist avg"": 0.36, ""save avg"": 1.41, ""shot avg"": 2.64, ""shot %"": 28.10%, ""goal participation %"": 58.18%, ""rating"": 0.937', 'Player: ""name"": ""kayex"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[19.333333333333332, 0.15516666666666665, 114.80333333333334, 0.24666666666666667, 0.12, 0.47, 0.88, 0.09366666666666668, 0.31233333333333335]"
Ghost Gaming,NA,"['Player: ""name"": ""LionBlaze"", ""games"": 342, ""win %"": 48.54%, ""score avg"": 399.57, ""goal avg"": 0.61, ""assist avg"": 0.52, ""save avg"": 1.93, ""shot avg"": 2.96, ""shot %"": 20.71%, ""goal participation %"": 63.76%, ""rating"": 1.005', 'Player: ""name"": ""Roll Dizz"", ""games"": 401, ""win %"": 48.88%, ""score avg"": 318.20, ""goal avg"": 0.54, ""assist avg"": 0.37, ""save avg"": 1.39, ""shot avg"": 2.27, ""shot %"": 23.63%, ""goal participation %"": 54.17%, ""rating"": 0.812', 'Player: ""name"": ""Shock"", ""games"": 406, ""win %"": 50.25%, ""score avg"": 378.73, ""goal avg"": 0.65, ""assist avg"": 0.45, ""save avg"": 1.74, ""shot avg"": 2.78, ""shot %"": 23.27%, ""goal participation %"": 61.77%, ""rating"": 0.962', 'Player: ""name"": ""Spoodah"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Fakey"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[383.0, 0.49223333333333336, 365.5, 0.6, 0.4466666666666667, 1.6866666666666665, 2.67, 0.22536666666666666, 0.9263333333333333]"
