name,region,Players,stats
Big GOOSE,OCE,"['Player: ""name"": ""Scout"", ""games"": 134, ""win %"": 43.28%, ""score avg"": 326.22, ""goal avg"": 0.67, ""assist avg"": 0.43, ""save avg"": 1.33, ""shot avg"": 2.66, ""shot %"": 25.28%, ""goal participation %"": 56.54%, ""rating"": 0.901', 'Player: ""name"": ""Shmoopernator"", ""games"": 250, ""win %"": 44.80%, ""score avg"": 349.14, ""goal avg"": 0.64, ""assist avg"": 0.50, ""save avg"": 1.59, ""shot avg"": 2.56, ""shot %"": 25.20%, ""goal participation %"": 60.90%, ""rating"": 0.946', 'Player: ""name"": ""Tobee"", ""games"": 151, ""win %"": 43.05%, ""score avg"": 363.66, ""goal avg"": 0.58, ""assist avg"": 0.58, ""save avg"": 1.46, ""shot avg"": 2.61, ""shot %"": 22.34%, ""goal participation %"": 58.72%, ""rating"": 0.947']","[178.33333333333334, 0.4371, 346.34, 0.63, 0.5033333333333333, 1.46, 2.61, 0.24273333333333336, 0.9313333333333333]"
Bros On Their Toes,OCE,"['Player: ""name"": ""Azmo"", ""games"": 113, ""win %"": 37.17%, ""score avg"": 329.03, ""goal avg"": 0.61, ""assist avg"": 0.38, ""save avg"": 1.43, ""shot avg"": 2.65, ""shot %"": 23.08%, ""goal participation %"": 58.03%, ""rating"": 0.867', 'Player: ""name"": ""Negative"", ""games"": 218, ""win %"": 46.33%, ""score avg"": 384.62, ""goal avg"": 0.63, ""assist avg"": 0.46, ""save avg"": 1.90, ""shot avg"": 2.44, ""shot %"": 25.80%, ""goal participation %"": 59.20%, ""rating"": 0.974', 'Player: ""name"": ""airmac"", ""games"": 57, ""win %"": 36.84%, ""score avg"": 336.04, ""goal avg"": 0.54, ""assist avg"": 0.46, ""save avg"": 1.30, ""shot avg"": 2.32, ""shot %"": 23.48%, ""goal participation %"": 58.76%, ""rating"": 0.834']","[129.33333333333334, 0.40113333333333334, 349.8966666666667, 0.5933333333333334, 0.43333333333333335, 1.5433333333333332, 2.47, 0.2412, 0.8916666666666666]"
Budapest Five,EU,"['Player: ""name"": ""CokeHUN"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Negsy"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""msh7"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cagliari Calcio Exeed,EU,"['Player: ""name"": ""Alex19"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""SoundsGuud"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Chromyum"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""RAHIDEN"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Charlotte Phoenix,NA,"['Player: ""name"": ""AlRaz"", ""games"": 239, ""win %"": 41.84%, ""score avg"": 375.74, ""goal avg"": 0.60, ""assist avg"": 0.48, ""save avg"": 1.65, ""shot avg"": 2.95, ""shot %"": 20.43%, ""goal participation %"": 62.71%, ""rating"": 0.958', 'Player: ""name"": ""Beastaboniam"", ""games"": 345, ""win %"": 50.14%, ""score avg"": 326.28, ""goal avg"": 0.46, ""assist avg"": 0.43, ""save avg"": 1.57, ""shot avg"": 2.19, ""shot %"": 21.14%, ""goal participation %"": 50.91%, ""rating"": 0.810', 'Player: ""name"": ""Delta"", ""games"": 345, ""win %"": 50.14%, ""score avg"": 343.72, ""goal avg"": 0.62, ""assist avg"": 0.49, ""save avg"": 1.40, ""shot avg"": 2.57, ""shot %"": 24.13%, ""goal participation %"": 63.10%, ""rating"": 0.918', 'Player: ""name"": ""FireRaptor"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Sub\'N"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[309.6666666666667, 0.47373333333333334, 348.58, 0.56, 0.4666666666666666, 1.5399999999999998, 2.5700000000000003, 0.21900000000000003, 0.8953333333333333]"
Complexity Gaming,NA,"['Player: ""name"": ""Reysbull"", ""games"": 851, ""win %"": 60.87%, ""score avg"": 377.81, ""goal avg"": 0.67, ""assist avg"": 0.59, ""save avg"": 1.56, ""shot avg"": 2.84, ""shot %"": 23.56%, ""goal participation %"": 59.56%, ""rating"": 0.996', 'Player: ""name"": ""Shad"", ""games"": 880, ""win %"": 60.23%, ""score avg"": 378.47, ""goal avg"": 0.77, ""assist avg"": 0.48, ""save avg"": 1.56, ""shot avg"": 3.02, ""shot %"": 25.35%, ""goal participation %"": 59.32%, ""rating"": 1.014', 'Player: ""name"": ""ajg"", ""games"": 850, ""win %"": 60.71%, ""score avg"": 381.05, ""goal avg"": 0.67, ""assist avg"": 0.60, ""save avg"": 1.62, ""shot avg"": 2.78, ""shot %"": 24.09%, ""goal participation %"": 59.88%, ""rating"": 1.001', 'Player: ""name"": ""Aguesome"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[860.3333333333334, 0.6060333333333333, 379.10999999999996, 0.7033333333333333, 0.5566666666666666, 1.58, 2.8799999999999994, 0.24333333333333332, 1.0036666666666665]"
DeToNator,ASIA,"['Player: ""name"": ""Burn"", ""games"": 84, ""win %"": 61.90%, ""score avg"": 408.65, ""goal avg"": 1.11, ""assist avg"": 0.52, ""save avg"": 1.13, ""shot avg"": 3.80, ""shot %"": 29.15%, ""goal participation %"": 66.18%, ""rating"": 1.148', 'Player: ""name"": ""Mikan"", ""games"": 84, ""win %"": 61.90%, ""score avg"": 375.61, ""goal avg"": 0.89, ""assist avg"": 0.63, ""save avg"": 1.19, ""shot avg"": 3.02, ""shot %"": 29.53%, ""goal participation %"": 61.84%, ""rating"": 1.074', 'Player: ""name"": ""Olpix"", ""games"": 84, ""win %"": 61.90%, ""score avg"": 305.29, ""goal avg"": 0.46, ""assist avg"": 0.64, ""save avg"": 0.99, ""shot avg"": 2.62, ""shot %"": 17.73%, ""goal participation %"": 44.93%, ""rating"": 0.829']","[84.0, 0.619, 363.18333333333334, 0.82, 0.5966666666666667, 1.1033333333333333, 3.146666666666667, 0.2547, 1.0170000000000001]"
Deft,OCE,"['Player: ""name"": ""Homie"", ""games"": 274, ""win %"": 41.61%, ""score avg"": 349.02, ""goal avg"": 0.57, ""assist avg"": 0.46, ""save avg"": 1.69, ""shot avg"": 2.28, ""shot %"": 25.08%, ""goal participation %"": 57.17%, ""rating"": 0.897', 'Player: ""name"": ""ceeva"", ""games"": 132, ""win %"": 46.21%, ""score avg"": 425.63, ""goal avg"": 0.70, ""assist avg"": 0.48, ""save avg"": 2.11, ""shot avg"": 3.02, ""shot %"": 23.06%, ""goal participation %"": 63.79%, ""rating"": 1.064', 'Player: ""name"": ""change"", ""games"": 257, ""win %"": 43.19%, ""score avg"": 331.53, ""goal avg"": 0.62, ""assist avg"": 0.44, ""save avg"": 1.46, ""shot avg"": 2.35, ""shot %"": 26.28%, ""goal participation %"": 57.42%, ""rating"": 0.897']","[221.0, 0.4366999999999999, 368.72666666666663, 0.63, 0.45999999999999996, 1.7533333333333332, 2.5500000000000003, 0.24806666666666669, 0.9526666666666667]"
Dignitas,EU,"['Player: ""name"": ""ApparentlyJack"", ""games"": 376, ""win %"": 55.32%, ""score avg"": 405.91, ""goal avg"": 0.79, ""assist avg"": 0.54, ""save avg"": 1.63, ""shot avg"": 3.30, ""shot %"": 24.01%, ""goal participation %"": 65.06%, ""rating"": 1.063', 'Player: ""name"": ""Joreuz"", ""games"": 394, ""win %"": 56.09%, ""score avg"": 404.52, ""goal avg"": 0.79, ""assist avg"": 0.49, ""save avg"": 1.70, ""shot avg"": 3.22, ""shot %"": 24.51%, ""goal participation %"": 65.63%, ""rating"": 1.051', 'Player: ""name"": ""Scrub Killa"", ""games"": 574, ""win %"": 56.27%, ""score avg"": 374.07, ""goal avg"": 0.53, ""assist avg"": 0.49, ""save avg"": 1.97, ""shot avg"": 2.42, ""shot %"": 22.07%, ""goal participation %"": 52.22%, ""rating"": 0.932', 'Player: ""name"": ""Jessie"", ""games"": 98, ""win %"": 40.82%, ""score avg"": 216.79, ""goal avg"": 0.55, ""assist avg"": 0.59, ""save avg"": 1.37, ""shot avg"": 2.17, ""shot %"": 25.35%, ""goal participation %"": 57.73%, ""rating"": 0.865']","[448.0, 0.5589333333333334, 394.8333333333333, 0.7033333333333335, 0.5066666666666667, 1.7666666666666666, 2.98, 0.2353, 1.0153333333333332]"
Dire Wolves,OCE,"['Player: ""name"": ""Fiberr"", ""games"": 419, ""win %"": 56.09%, ""score avg"": 401.13, ""goal avg"": 0.78, ""assist avg"": 0.53, ""save avg"": 1.68, ""shot avg"": 3.02, ""shot %"": 25.93%, ""goal participation %"": 63.91%, ""rating"": 1.057', 'Player: ""name"": ""Walcott"", ""games"": 588, ""win %"": 50.17%, ""score avg"": 377.83, ""goal avg"": 0.77, ""assist avg"": 0.54, ""save avg"": 1.70, ""shot avg"": 2.71, ""shot %"": 28.41%, ""goal participation %"": 61.46%, ""rating"": 1.041', 'Player: ""name"": ""misty"", ""games"": 473, ""win %"": 51.59%, ""score avg"": 371.11, ""goal avg"": 0.65, ""assist avg"": 0.51, ""save avg"": 1.64, ""shot avg"": 2.65, ""shot %"": 24.64%, ""goal participation %"": 57.01%, ""rating"": 0.974', 'Player: ""name"": ""Vive"", ""games"": 129, ""win %"": 48.06%, ""score avg"": 268.19, ""goal avg"": 0.52, ""assist avg"": 0.40, ""save avg"": 1.16, ""shot avg"": 2.12, ""shot %"": 24.54%, ""goal participation %"": 47.97%, ""rating"": 0.764']","[493.3333333333333, 0.5261666666666668, 383.35666666666674, 0.7333333333333334, 0.5266666666666667, 1.6733333333333331, 2.7933333333333334, 0.2632666666666667, 1.024]"
